watersysteem_id;locatie_naam;locatie_code;locatie_omschrijving;geometry
Afgedamde Maas;Strandje Wijkse Bol;spijk.wijksebol.strand;Strandje Wijkse Bol;c(5.134235, 51.761657)
Afgedamde Maas;Strandje Andel;andel.strand;Strandje Andel;c(5.06116, 51.783418)
Afgedamde Maas;Aalst, De Neswaarden;aalst.deneswaarden;Aalst, De Neswaarden;c(5.115173, 51.785668)
Afgedamde Maas;De Hooge Waard, camping badstrand;dehoogewaard.campingbadstrand;De Hooge Waard, camping badstrand;c(5.082301, 51.779529)
Afgedamde Maas;Badstrand Veen;badstrandveen;Badstrand Veen;c(5.105079, 51.784412)
Afgedamde Maas;Aalst, Waterspeelplaats De Neswaarden;aalst.waterspeelplaatsdeneswaarden;Aalst, Waterspeelplaats De Neswaarden;c(5.114232, 51.785477)
Afgedamde Maas;Wijksche Waard, Badstrand;wijkschewaard.badstrand;Wijksche Waard, Badstrand;c(5.129937, 51.773773)
Afgedamde Maas;Aalst, De Rietschoof, meetpunt 1;aalst.derietschoof.1;strand;c(5.125978, 51.77674)
Afgedamde Maas;Strandje Rijswijk;rijswijk.waalhaven;Strandje Rijswijk;c(5.02178, 51.803706)
Afgedamde Maas;Well, badstrand;well.badstrand;Well, badstrand;c(5.185952, 51.747529)
Afgesloten IJ;Amsterdam, km 25;amsterdam.km25;IJtunnel;c(4.905707, 52.380775)
Afgesloten IJ;Amsterdam, Surinamekade;amsterdam.surinamekade;Amsterdam, Surinamekade;c(4.949568, 52.37726)
Amer;Biesbosch, Marina;biesbosch.marina;Biesbosch, Marina;c(4.822605, 51.709165)
Amsterdam-Rijnkanaal;Nieuwersluis;nieuwersluis;Nieuwersluis;c(4.999561, 52.202172)
Amsterdam-Rijnkanaal;Diemen;diemen;Diemen;c(4.983599, 52.349384)
Amsterdam-Rijnkanaal;Diemen Muiden brug;diemen.muidenbrug;Diemen Muiden brug;c(5.015217, 52.333141)
Amsterdam-Rijnkanaal;Maarssen, kanaal;maarssen.kanaal;Maarssen, kanaal;c(5.039151, 52.133807)
Amsterdam-Rijnkanaal;Weesp, Amsterdam-Rijnkanaal;weesp.amsterdamrijnkanaal;Weesp, Amsterdam-Rijnkanaal;c(5.018799, 52.316829)
Amsterdam-Rijnkanaal;Wijk bij Duurstede, Amsterdam-Rijnkanaal;wijkbijduurstede.amsterdamrijnkanaal;Wijk bij Duurstede, Amsterdam-Rijnkanaal;c(5.293258, 51.97479)
Amsterdam-Rijnkanaal;Tiel Sluis, kanaal;tiel.sluis.kanaal;Tiel Sluis, kanaal;c(5.452592, 51.904386)
Amsterdam-Rijnkanaal;Maurik Mauriksewetering;maurik.mauriksewetering;Maurik Mauriksewetering;c(5.38961, 51.94173)
Amsterdam-Rijnkanaal;Rijswijk Drielandenpunt;rijswijk.drielandenpunt;Rijswijk Drielandenpunt;c(5.35958, 51.95187)
Amsterdam-Rijnkanaal;Zoelen Beuningengemaal;zoelen.beuningengemaal;Zoelen Beuningengemaal;c(5.43391, 51.92096)
Amsterdam-Rijnkanaal;Rijswijk, Betuwepand;rijswijk.betuwepand;Rijswijk, Betuwepand;c(5.361295, 51.952417)
Bathse Spuikanaal;Rilland, Bathsebrug;rilland.bathsebrug;voorheen Kreekrakbrug spuikanaal;c(4.231181, 51.42503)
Bathse Spuikanaal;Rilland Bathse spuisluis;rilland.bathsespuisluis;Rilland Bathse spuisluis;c(4.23458, 51.3931)
Bathse Spuikanaal;Rilland Bathse spuisluis binnen;rilland.bathsespuisluis.binnen;Rilland Bathse spuisluis binnen;c(4.235008, 51.393198)
