locatie_id,watersysteemid,locatie_naam,locatie_code,locatie_omschrijving,rw_identificatie,PARAMETER_WAT_OMSCHRIJVING,TIJDSTIP_LAATSTE_METING,geometry
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c06,Afgesloten IJ,"Amsterdam, Surinamekade",amsterdam.surinamekade,"Amsterdam, Surinamekade",Afgesloten IJ,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(4.949568, 52.37726)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b99,Afgesloten IJ,"Amsterdam, Surinamekade",amsterdam.surinamekade,"Amsterdam, Surinamekade",Afgesloten IJ,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(4.949568, 52.37726)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d1c,Amsterdam-Rijnkanaal,"Wijk bij Duurstede, Amsterdam-Rijnkanaal",wijkbijduurstede.amsterdamrijnkanaal,"Wijk bij Duurstede, Amsterdam-Rijnkanaal",Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.293258, 51.97479)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5d0b,Amsterdam-Rijnkanaal,"Tiel Sluis, kanaal",tiel.sluis.kanaal,"Tiel Sluis, kanaal",Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-02-28T05:50:00Z,"c(5.452592, 51.904386)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c74,Amsterdam-Rijnkanaal,"Maarssen, kanaal",maarssen.kanaal,"Maarssen, kanaal",Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.039151, 52.133807)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c71,Amsterdam-Rijnkanaal,Maurik Mauriksewetering,maurik.mauriksewetering,Maurik Mauriksewetering,Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(5.38961, 51.94173)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c5b,Amsterdam-Rijnkanaal,Rijswijk Drielandenpunt,rijswijk.drielandenpunt,Rijswijk Drielandenpunt,Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:10:00Z,"c(5.35958, 51.95187)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c39,Amsterdam-Rijnkanaal,"Weesp, Amsterdam-Rijnkanaal",weesp.amsterdamrijnkanaal,"Weesp, Amsterdam-Rijnkanaal",Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(5.018799, 52.316829)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c14,Amsterdam-Rijnkanaal,Zoelen Beuningengemaal,zoelen.beuningengemaal,Zoelen Beuningengemaal,Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T17:20:00Z,"c(5.43391, 51.92096)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b9e,Amsterdam-Rijnkanaal,"Wijk bij Duurstede, Amsterdam-Rijnkanaal",wijkbijduurstede.amsterdamrijnkanaal,"Wijk bij Duurstede, Amsterdam-Rijnkanaal",Amsterdam-Rijnkanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(5.293258, 51.97479)"
